SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass
AbieConc,4,N,400,3600,-10,0.93,8,N,0.17,0.2,0.25,0.25,30,30,333,222,100,55,100000
AbieMagn,4,N,400,3400,-13,0.91,8,N,0.17,0.2,0.25,0.25,30,30,250,167,100,50,100000
AcerMacr,2,N,550,3600,-3,0.5,1,N,0.18,0.22,0.28,0.32,24,30,400,80,62,50,20000
AescCali,2,N,1100,4000,0,0.6,1,Y,0.18,0.22,0.28,0.32,24,30,400,80,62,40,10000
AlnuRhom,2,Y,400,2950,-7,0.5,1,N,0.18,0.15,0.28,0.32,22,25,200,80,28,40,15000
>>AlnuRubr,2,Y,400,2950,-7,0.5,1,N,0.18,0.15,0.28,0.32,22,25,200,80,28,60,15000
ArbuMenz,2,N,400,3750,-5,0.75,3,Y,0.18,0.22,0.28,0.32,25,30,400,80,100,45,20000
CaloDecu,1,N,1100,3600,-18,0.97,4,N,0.1,0.2,0.25,0.25,48,48,500,333,100,50,100000
>>CercLedi,2,Y,200,2000,-12,0.9,3,Y,0.25,0.2,0.25,0.25,20,30,333,222,50,45,10000
>>ChryChry,2,N,750,2950,-1,0.7,3,N,0.18,0.22,0.28,0.32,25,30,400,80,100,40,20000
CornNutt,2,N,500,2500,-10,0.7,1,Y,0.18,0.15,0.28,0.32,22,25,200,80,28,45,10000
JuniOcci,1,N,400,5500,-14,0.99,6,N,0.25,0.2,0.25,0.25,20,30,333,222,50,45,20000
LithDens,2,N,900,3150,2,0.8,1,Y,0.18,0.22,0.28,0.32,27,30,400,80,33,65,35000
PinuAlbi,4,N,300,2400,-18,0.9,5.5,Y,0.27,0.2,0.25,0.25,80,80,333,222,100,30,15000
PinuAtte,1,N,900,2500,1,0.8,2.5,N,0.28,0.2,0.25,0.25,48,48,250,167,100,30,15000
PinuCont,4,N,500,2400,-18,0.87,3.5,N,0.25,0.2,0.25,0.25,48,48,500,333,100,30,15000
>>PinuCoul,1,N,900,3800,2,0.6,2.5,N,0.28,0.2,0.25,0.25,48,48,250,167,100,40,15000
>>PinuFlex,4,N,300,2400,-15,0.9,3.5,N,0.28,0.2,0.25,0.25,48,48,250,167,100,40,15000
PinuJeff,1,N,900,2800,-5,0.95,6,N,0.28,0.2,0.25,0.25,48,48,250,167,100,60,100000
PinuLamb,1,N,900,2800,-5,0.9,2.5,N,0.17,0.2,0.25,0.25,53,53,278,185,100,65,100000
PinuMono,1,N,400,5500,-10,0.99,9,N,0.25,0.2,0.25,0.25,20,30,333,222,50,40,15000
PinuMont,4,N,500,2200,-18,0.85,7,N,0.31,0.2,0.25,0.25,37,37,500,333,100,30,100000
PinuPond,1,N,500,5500,-9,0.9,5,N,0.24,0.23,0.28,0.32,50,47,400,80,75,65,100000
PinuSabi,1,N,900,4200,0,0.9,2.5,N,0.28,0.2,0.25,0.25,48,48,250,167,100,35,15000
PinuWash,1,N,500,5500,-9,0.9,5,N,0.24,0.23,0.28,0.32,50,47,400,80,75,65,100000
>>PopuBals,2,N,900,5000,-7,0.4,1,Y,0.18,0.15,0.28,0.32,22,25,200,80,28,40,15000
PopuTrem,2,N,600,3200,-10,0.82,1,Y,0.18,0.2,0.25,0.25,62,62,333,222,100,40,10000
PseuMenz,1,N,300,4950,-12,0.91,6,N,0.24,0.3,0.28,0.32,42,36,400,80,77,65,100000
QuerChry,5,N,700,4250,0,0.95,1,Y,0.18,0.22,0.28,0.32,27,30,400,80,33,65,25000
QuerDoug,5,N,700,3950,0,0.95,1,Y,0.18,0.22,0.28,0.32,27,30,400,80,33,65,20000
QuerGarr,5,N,700,3950,0,0.95,1,Y,0.18,0.22,0.28,0.32,27,30,400,80,33,65,20000
QuerKell,5,N,850,4250,-1,0.95,1,Y,0.18,0.22,0.28,0.32,27,30,400,80,33,65,25000
>>QuerLoba,5,N,850,3950,-1,0.95,1,Y,0.18,0.22,0.28,0.32,27,30,400,80,33,40,20000
QuerWisl,5,N,850,4250,-1,0.95,1,Y,0.18,0.22,0.28,0.32,27,30,400,80,33,65,20000
>>SequGiga,1,N,500,3500,-2,0.75,3.5,N,0.17,0.2,0.25,0.25,53,53,278,185,100,190,100000
TaxuBrev,1,N,400,2500,-4,0.8,4.5,N,0.31,0.2,0.25,0.25,37,37,500,333,100,40,15000
TorrCali,5,N,900,4000,0,0.7,3,Y,0.18,0.22,0.28,0.32,27,30,400,80,33,40,15000
TsugMert,4,N,500,1400,-18,0.82,4.5,Y,0.24,0.2,0.25,0.25,80,80,333,222,100,45,90000
UmbeCali,5,N,900,4000,0,0.7,3,Y,0.18,0.22,0.28,0.32,27,30,400,80,33,40,15000
FX_R_SEED,3,Y,400,4000,-10,0.97,1.5,Y,0.25,0.2,0.25,0.25,20,28,333,222,50,35,2900
NOFX_R_SEED,3,N,400,4000,-10,0.97,1.5,Y,0.25,0.2,0.25,0.25,59,59,333,222,100,35,2700
NOFX_NOR_SEED,3,N,400,4000,-10,0.97,1.5,N,0.25,0.2,0.25,0.25,59,59,333,222,100,35,2700
